sku,stock,location,barcode
042512b,33,C/21/2,4061331177492
042512c,53,"C/16/3,C/20/2",4061331177522
042514c,41,E/05/3,4061331177300
N007171a,23,F/12/2,4065351061458
N023071a,29,I/13/3,4065351067672
N003936a,7,E/09/2,4065351065043
N003935a,39,G/17/3,4065351065050
043555a,12,I/07/1,4061331181802
043556a,4,F/08/2,4061331181864
043531a,7,F/11/1,4061331181772
043512a,20,C/04/1,4061331181857
043515a,13,E/06/2,4061331181819
043514a,27,D/09/3,4061331181796
N008935a,41,G/13/3,4065351065210
N008936a,31,H/06/2,4065351065203
N004836a,7,F/10/2,4065351064282
N008736a,38,H/05/2,4065351065166
N023271a,40,D/10/3,4065351068013
N023463a,9,"D/17/3,D/17/3",4065351068150
N023471a,14,H/13/2,4065351068136
043712a,60,"C/04/2,H/14/3",4061331181994
043714a,47,E/18/3,4061331181932
